Country,Source,Sex,Education,Area type,Year,Value
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 5. Short-cycle tertiary education,Area type: Rural,2020,85.5
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 5. Short-cycle tertiary education,Area type: Urban,2020,79
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 6. Bachelor's or equivalent level,Area type: National,2020,80.6
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 6. Bachelor's or equivalent level,Area type: Rural,2020,86.1
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 6. Bachelor's or equivalent level,Area type: Urban,2020,73.1
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 9. Not elsewhere classified,Area type: National,2020,27
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 9. Not elsewhere classified,Area type: Rural,2020,32
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 9. Not elsewhere classified,Area type: Urban,2020,
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: Total,Area type: National,2020,32
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: Total,Area type: Rural,2020,32.8
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: Total,Area type: Urban,2020,27.9
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: X. No schooling,Area type: National,2020,21.1
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: X. No schooling,Area type: Rural,2020,21.2
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: X. No schooling,Area type: Urban,2020,19.9
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 0. Early childhood education,Area type: National,2020,24.6
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 0. Early childhood education,Area type: Rural,2020,25.6
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 0. Early childhood education,Area type: Urban,2020,15.1
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 1. Primary education,Area type: National,2020,28.3
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 1. Primary education,Area type: Rural,2020,30.1
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 1. Primary education,Area type: Urban,2020,18.2
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 2. Lower secondary education,Area type: National,2020,28.3
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 2. Lower secondary education,Area type: Rural,2020,29.8
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 2. Lower secondary education,Area type: Urban,2020,19.1
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 3. Upper secondary education,Area type: National,2020,33.6
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 3. Upper secondary education,Area type: Rural,2020,34.4
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 3. Upper secondary education,Area type: Urban,2020,30.7
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 5. Short-cycle tertiary education,Area type: National,2020,79.7
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 5. Short-cycle tertiary education,Area type: Rural,2020,82.7
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 5. Short-cycle tertiary education,Area type: Urban,2020,71.1
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 6. Bachelor's or equivalent level,Area type: National,2020,81.4
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 6. Bachelor's or equivalent level,Area type: Rural,2020,83
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 6. Bachelor's or equivalent level,Area type: Urban,2020,78.3
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 9. Not elsewhere classified,Area type: National,2020,
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 9. Not elsewhere classified,Area type: Rural,2020,
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 9. Not elsewhere classified,Area type: Urban,2020,
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Total,Area type: National,2019,52.2
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Total,Area type: Rural,2019,52.7
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Total,Area type: Urban,2019,50.2
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Less than basic,Area type: National,2019,43.9
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Less than basic,Area type: Rural,2019,44.2
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Less than basic,Area type: Urban,2019,40.9
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Basic,Area type: National,2019,52.8
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Basic,Area type: Rural,2019,53.8
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Basic,Area type: Urban,2019,46.5
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Intermediate,Area type: National,2019,50.8
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Intermediate,Area type: Rural,2019,51.1
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Intermediate,Area type: Urban,2019,49.7
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Advanced,Area type: National,2019,84.5
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Advanced,Area type: Rural,2019,86
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Advanced,Area type: Urban,2019,81.6
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Level not stated,Area type: National,2019,19.1
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Level not stated,Area type: Rural,2019,22.5
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Level not stated,Area type: Urban,2019,
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Total,Area type: National,2019,72.9
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Total,Area type: Rural,2019,73.4
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Total,Area type: Urban,2019,70.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Less than basic,Area type: National,2019,67.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Less than basic,Area type: Rural,2019,67.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Less than basic,Area type: Urban,2019,67.9
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Basic,Area type: National,2019,75.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Basic,Area type: Rural,2019,76.3
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Basic,Area type: Urban,2019,71.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Intermediate,Area type: National,2019,69.2
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Intermediate,Area type: Rural,2019,69.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Intermediate,Area type: Urban,2019,67.9
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Advanced,Area type: National,2019,85.4
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Advanced,Area type: Rural,2019,85.8
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Advanced,Area type: Urban,2019,84.9
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Level not stated,Area type: National,2019,18.5
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Level not stated,Area type: Rural,2019,21.3
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Level not stated,Area type: Urban,2019,
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Total,Area type: National,2019,34.4
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Total,Area type: Rural,2019,34.8
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Total,Area type: Urban,2019,32.7
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Less than basic,Area type: National,2019,26.7
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Less than basic,Area type: Rural,2019,27
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Less than basic,Area type: Urban,2019,24.6
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Basic,Area type: National,2019,30.5
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Basic,Area type: Rural,2019,31.7
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Basic,Area type: Urban,2019,23.5
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Intermediate,Area type: National,2019,36.3
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Intermediate,Area type: Rural,2019,36.8
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Intermediate,Area type: Urban,2019,34.4
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Advanced,Area type: National,2019,83.8
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Advanced,Area type: Rural,2019,86.1
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Advanced,Area type: Urban,2019,78.4
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Level not stated,Area type: National,2019,20
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Level not stated,Area type: Rural,2019,
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Level not stated,Area type: Urban,2019,
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: Total,Area type: National,2019,52.2
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: Total,Area type: Rural,2019,52.7
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: Total,Area type: Urban,2019,50.2
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: X. No schooling,Area type: National,2019,34.1
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: X. No schooling,Area type: Rural,2019,33.6
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: X. No schooling,Area type: Urban,2019,38.9
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 0. Early childhood education,Area type: National,2019,47.3
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 0. Early childhood education,Area type: Rural,2019,47.8
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 0. Early childhood education,Area type: Urban,2019,41.5
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 1. Primary education,Area type: National,2019,52.6
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 1. Primary education,Area type: Rural,2019,54
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 1. Primary education,Area type: Urban,2019,44.3
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 2. Lower secondary education,Area type: National,2019,52.9
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 2. Lower secondary education,Area type: Rural,2019,53.7
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 2. Lower secondary education,Area type: Urban,2019,47.8
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 3. Upper secondary education,Area type: National,2019,50.8
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 3. Upper secondary education,Area type: Rural,2019,51.1
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 3. Upper secondary education,Area type: Urban,2019,49.7
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 5. Short-cycle tertiary education,Area type: National,2019,84.8
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 5. Short-cycle tertiary education,Area type: Rural,2019,86.4
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 5. Short-cycle tertiary education,Area type: Urban,2019,81.3
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 6. Bachelor's or equivalent level,Area type: National,2019,82.7
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 6. Bachelor's or equivalent level,Area type: Rural,2019,83
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 6. Bachelor's or equivalent level,Area type: Urban,2019,82.4
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 9. Not elsewhere classified,Area type: National,2019,19.1
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 9. Not elsewhere classified,Area type: Rural,2019,22.5
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 9. Not elsewhere classified,Area type: Urban,2019,
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: Total,Area type: National,2019,72.9
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: Total,Area type: Rural,2019,73.4
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: Total,Area type: Urban,2019,70.7
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: X. No schooling,Area type: National,2019,56.5
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: X. No schooling,Area type: Rural,2019,55.9
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: X. No schooling,Area type: Urban,2019,63.2
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 0. Early childhood education,Area type: National,2019,70.3
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 0. Early childhood education,Area type: Rural,2019,70.5
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 0. Early childhood education,Area type: Urban,2019,69
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 1. Primary education,Area type: National,2019,75.1
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 1. Primary education,Area type: Rural,2019,75.6
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 1. Primary education,Area type: Urban,2019,71.7
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 2. Lower secondary education,Area type: National,2019,76
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 2. Lower secondary education,Area type: Rural,2019,76.6
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 2. Lower secondary education,Area type: Urban,2019,71.8
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 3. Upper secondary education,Area type: National,2019,69.2
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 3. Upper secondary education,Area type: Rural,2019,69.7
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 3. Upper secondary education,Area type: Urban,2019,67.9
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 5. Short-cycle tertiary education,Area type: National,2019,86.1
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 5. Short-cycle tertiary education,Area type: Rural,2019,86.3
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 5. Short-cycle tertiary education,Area type: Urban,2019,85.8
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 6. Bachelor's or equivalent level,Area type: National,2019,82.6
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 6. Bachelor's or equivalent level,Area type: Rural,2019,82.9
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 6. Bachelor's or equivalent level,Area type: Urban,2019,82.2
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 9. Not elsewhere classified,Area type: National,2019,18.5
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 9. Not elsewhere classified,Area type: Rural,2019,21.3
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 9. Not elsewhere classified,Area type: Urban,2019,
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: Total,Area type: National,2019,34.4
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: Total,Area type: Rural,2019,34.8
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: Total,Area type: Urban,2019,32.7
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: X. No schooling,Area type: National,2019,24.1
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: X. No schooling,Area type: Rural,2019,23.4
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: X. No schooling,Area type: Urban,2019,30.5
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 0. Early childhood education,Area type: National,2019,27.9
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 0. Early childhood education,Area type: Rural,2019,28.5
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 0. Early childhood education,Area type: Urban,2019,21.8
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 1. Primary education,Area type: National,2019,30.4
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 1. Primary education,Area type: Rural,2019,31.8
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 1. Primary education,Area type: Urban,2019,23
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 2. Lower secondary education,Area type: National,2019,30.6
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 2. Lower secondary education,Area type: Rural,2019,31.6
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 2. Lower secondary education,Area type: Urban,2019,23.8
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 3. Upper secondary education,Area type: National,2019,36.3
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 3. Upper secondary education,Area type: Rural,2019,36.8
Sri Lanka,LFS - Labour Force Survey,Female,ISCED-11: 3. Upper secondary education,Area type: Urban,2019,34.4
